	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> T 2m -> Povp. -> °C	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Rel. vl. 2m -> Povp. -> %	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Stab.atm. -> Stabilnost ->  PG	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Gl. son. sev. -> Povp. ->  W/m2	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Zr. tlak -> Povp. ->  mB	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Veter 10m -> Skal. ->  m/s
01/01/2015 00:00	-14.3	87	7	-8	1019.7	0.8
01/01/2015 00:30	-15.0	86	7	-8	1019.5	0.8
01/01/2015 01:00	-14.0	87	7	-8	1019.4	0.7
01/01/2015 01:30	-14.1	86	7	-8	1019.4	0.9
01/01/2015 02:00	-13.5	86	6	-8	1019.4	0.4
01/01/2015 02:30	-12.8	87	4	-7	1019.2	0.8
01/01/2015 03:00	-11.8	88	4	-8	1019.1	1.0
01/01/2015 03:30	-10.9	88	4	-8	1019.0	1.5
01/01/2015 04:00	-11.1	87	4	-8	1019.0	1.3
01/01/2015 04:30	-10.8	88	1	-8	1018.7	0.7
01/01/2015 05:00	-10.4	88	2	-8	1018.3	0.6
01/01/2015 05:30	-10.0	86	2	-8	1018.0	1.5
01/01/2015 06:00	-10.0	84	3	-8	1017.9	1.2
01/01/2015 06:30	-9.6	84	2	-8	1017.7	0.5
01/01/2015 07:00	-9.3	84	4	-8	1017.7	0.6
01/01/2015 07:30	-9.0	83	4	-8	1018.0	0.4
01/01/2015 08:00	-8.8	82	4	-3	1018.1	0.6
01/01/2015 08:30	-8.5	79	4	17	1018.3	1.3
01/01/2015 09:00	-7.9	75	1	54	1018.4	1.0
01/01/2015 09:30	-7.0	73	1	86	1018.7	0.6
01/01/2015 10:00	-6.6	68	4	84	1018.7	1.3
01/01/2015 10:30	-6.5	68	6	88	1018.8	1.1
01/01/2015 11:00	-6.0	66	4	110	1018.9	1.2
01/01/2015 11:30	-5.6	64	4	149	1018.6	1.8
01/01/2015 12:00	-5.4	62	4	139	1018.5	1.9
01/01/2015 12:30	-4.9	61	2	148	1018.4	1.5
01/01/2015 13:00	-4.4	59	3	145	1017.9	2.1
01/01/2015 13:30	-4.0	57	3	153	1017.6	2.2
01/01/2015 14:00	-3.6	56	3	115	1017.5	2.0
01/01/2015 14:30	-3.5	55	4	74	1017.5	2.0
01/01/2015 15:00	-3.5	57	5	50	1017.5	2.1
01/01/2015 15:30	-3.5	60	6	23	1017.9	1.6
01/01/2015 16:00	-4.0	71	5	10	1017.9	2.4
01/01/2015 16:30	-4.3	80	5	-4	1017.9	2.2
01/01/2015 17:00	-4.4	86	5	-8	1018.0	2.1
01/01/2015 17:30	-4.4	91	6	-8	1017.9	1.5
01/01/2015 18:00	-4.3	88	6	-8	1017.9	1.5
01/01/2015 18:30	-4.2	88	4	-8	1017.8	1.4
01/01/2015 19:00	-4.0	86	4	-8	1018.0	1.0
01/01/2015 19:30	-3.8	86	4	-8	1018.3	1.1
01/01/2015 20:00	-3.7	84	6	-8	1018.4	1.0
01/01/2015 20:30	-3.6	84	4	-9	1018.4	0.5
01/01/2015 21:00	-3.6	84	6	-9	1018.0	1.0
01/01/2015 21:30	-4.0	86	6	-9	1017.9	1.3
01/01/2015 22:00	-3.5	85	6	-8	1017.9	1.1
01/01/2015 22:30	-3.5	86	6	-8	1017.9	1.5
01/01/2015 23:00	-3.5	86	6	-8	1017.8	1.2
01/01/2015 23:30	-3.3	85	6	-8	1017.9	1.0
02/01/2015 00:00	-3.1	84	6	-8	1017.8	1.4
02/01/2015 00:30	-3.0	85	6	-8	1017.4	1.4
02/01/2015 01:00	-2.9	81	6	-8	1016.8	2.0
02/01/2015 01:30	-2.7	75	6	-8	1016.5	2.1
02/01/2015 02:00	-3.1	77	7	-8	1016.3	2.1
02/01/2015 02:30	-4.1	81	7	-9	1016.1	1.9
02/01/2015 03:00	-4.6	84	7	-9	1016.1	2.1
02/01/2015 03:30	-5.2	87	7	-10	1016.0	1.7
02/01/2015 04:00	-5.8	90	7	-10	1015.8	1.0
02/01/2015 04:30	-5.9	90	7	-8	1015.3	1.9
02/01/2015 05:00	-6.0	91	7	-9	1015.0	1.3
02/01/2015 05:30	-6.8	93	7	-9	1015.0	0.6
02/01/2015 06:00	-7.0	94	7	-8	1014.8	1.5
