	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> T 2m -> Povp. -> °C	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Rel. vl. 2m -> Povp. -> %	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Stab.atm. -> Stabilnost ->  PG	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Gl. son. sev. -> Povp. ->  W/m2	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Zr. tlak -> Povp. ->  mB	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Veter 10m -> Skal. ->  m/s
01/01/2016 00:00	-5.9	95	7	-8	1010.6	0.3
01/01/2016 00:30	-5.9	95	7	-9	1010.6	1.1
01/01/2016 01:00	-5.4	93	7	-10	1010.5	1.8
01/01/2016 01:30	-5.1	92	7	-9	1010.4	1.5
01/01/2016 02:00	-5.2	94	6	-9	1010.3	1.4
01/01/2016 02:30	-4.7	93	6	-9	1010.2	0.7
01/01/2016 03:00	-4.5	92	4	-8	1009.9	0.5
01/01/2016 03:30	-4.6	93	6	-8	1009.8	0.6
01/01/2016 04:00	-4.8	92	7	-9	1009.9	1.7
01/01/2016 04:30	-4.7	92	6	-9	1009.5	0.9
01/01/2016 05:00	-5.2	94	6	-8	1009.4	1.1
01/01/2016 05:30	-5.4	95	6	-9	1009.2	0.4
01/01/2016 06:00	-5.3	95	6	-8	1009.1	0.7
01/01/2016 06:30	-4.8	95	6	-8	1009.4	0.6
01/01/2016 07:00	-4.3	94	6	-9	1009.5	1.0
01/01/2016 07:30	-3.8	93	6	-9	1009.3	1.2
01/01/2016 08:00	-3.5	90	6	-7	1009.3	1.1
01/01/2016 08:30	-3.4	89	6	7	1009.6	1.1
01/01/2016 09:00	-3.2	88	2	15	1009.8	1.0
01/01/2016 09:30	-3.0	87	1	34	1009.8	0.7
01/01/2016 10:00	-2.6	83	1	60	1010.0	0.9
01/01/2016 10:30	-2.2	80	1	100	1010.0	1.0
01/01/2016 11:00	-1.7	78	1	105	1009.9	0.8
01/01/2016 11:30	-1.4	77	1	87	1009.6	0.6
01/01/2016 12:00	-1.0	75	1	118	1009.2	0.6
01/01/2016 12:30	-0.5	71	1	157	1008.8	0.4
01/01/2016 13:00	0.0	68	1	209	1008.6	0.7
01/01/2016 13:30	0.1	66	1	90	1008.6	0.9
01/01/2016 14:00	0.2	66	1	107	1008.4	1.5
01/01/2016 14:30	0.3	64	1	93	1008.3	1.2
01/01/2016 15:00	0.4	66	1	81	1008.2	1.3
01/01/2016 15:30	0.4	68	1	70	1008.1	1.4
01/01/2016 16:00	0.3	68	6	22	1008.3	0.9
01/01/2016 16:30	-0.5	74	7	-4	1008.2	1.0
01/01/2016 17:00	-1.2	76	7	-10	1008.0	1.3
01/01/2016 17:30	-2.0	80	7	-10	1008.0	1.2
01/01/2016 18:00	-2.5	84	7	-10	1008.1	1.0
01/01/2016 18:30	-2.4	84	7	-10	1008.2	1.0
01/01/2016 19:00	-2.6	87	7	-10	1008.1	0.6
01/01/2016 19:30	-3.0	88	7	-10	1008.0	0.8
01/01/2016 20:00	-3.2	90	7	-10	1007.9	0.6
01/01/2016 20:30	-3.1	90	7	-10	1007.9	0.4
01/01/2016 21:00	-2.9	91	7	-9	1007.8	0.6
01/01/2016 21:30	-2.8	92	7	-10	1007.7	0.5
01/01/2016 22:00	-2.4	91	7	-10	1007.6	0.7
01/01/2016 22:30	-2.0	88	7	-10	1007.5	1.2
01/01/2016 23:00	-1.8	86	6	-10	1007.4	1.0
01/01/2016 23:30	-1.8	87	6	-11	1007.1	1.1
02/01/2016 00:00	-1.6	84	6	-11	1007.0	1.2
02/01/2016 00:30	-1.6	85	6	-10	1006.7	1.2
02/01/2016 01:00	-1.7	86	7	-10	1006.6	0.7
02/01/2016 01:30	-1.9	86	7	-10	1006.5	0.9
02/01/2016 02:00	-1.7	85	7	-11	1006.4	1.2
02/01/2016 02:30	-1.9	87	7	-10	1006.3	0.8
