	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> T 2m -> Povp. -> °C	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Rel. vl. 2m -> Povp. -> %	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Stab.atm. -> Stabilnost ->  PG	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Gl. son. sev. -> Povp. ->  W/m2	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Zr. tlak -> Povp. ->  mB	mEIS -> Meritve -> Slovenija -> NEK (Gamma-meteo) -> Stolp -> 1/2-urni -> Veter 10m -> Skal. ->  m/s
01/01/2013 00:00	-3.5	98	6	0	1002.6	0.3
01/01/2013 00:30	-3.2	98	6	0	1002.2	0.4
01/01/2013 01:00	-3.5	98	6	0	1001.9	0.3
01/01/2013 01:30	-3.4	98	6	0	1001.5	0.1
01/01/2013 02:00	-3.3	98	6	0	1001.2	0.1
01/01/2013 02:30	-3.1	98	6	0	1001.0	0.3
01/01/2013 03:00	-3.3	98	6	0	1000.7	0.6
01/01/2013 03:30	-3.1	98	6	0	1000.3	0.4
01/01/2013 04:00	-3.5	98	4	0	999.9	0.3
01/01/2013 04:30	-3.5	98	4	0	999.5	0.3
01/01/2013 05:00	-3.8	98	4	0	999.2	0.5
01/01/2013 05:30	-3.6	98	2	0	998.9	0.1
01/01/2013 06:00	-3.6	98	4	0	998.7	0.2
01/01/2013 06:30	-3.6	98	4	0	998.5	0.1
01/01/2013 07:00	-3.6	98	4	0	998.3	0.1
01/01/2013 07:30	-3.8	98	4	0	998.3	0.2
01/01/2013 08:00	-4.0	98	3	2	998.3	0.1
01/01/2013 08:30	-4.1	98	3	13	998.3	0.0
01/01/2013 09:00	-3.9	98	3	25	998.2	0.0
01/01/2013 09:30	-3.8	98	2	35	998.2	0.2
01/01/2013 10:00	-3.7	98	2	51	998.2	0.2
01/01/2013 10:30	-3.7	98	4	54	998.2	0.2
01/01/2013 11:00	-3.5	98	4	104	998.0	0.3
01/01/2013 11:30	-3.1	98	4	101	997.8	0.0
01/01/2013 12:00	-2.7	98	4	127	997.6	0.2
01/01/2013 12:30	-2.2	99	4	145	997.1	0.3
01/01/2013 13:00	-1.7	99	4	132	996.6	0.4
01/01/2013 13:30	-1.4	99	4	201	996.4	0.7
01/01/2013 14:00	-1.5	99	3	174	996.2	0.6
01/01/2013 14:30	-1.4	99	4	154	996.0	0.7
01/01/2013 15:00	-1.7	99	4	76	996.0	1.1
01/01/2013 15:30	-1.9	99	4	48	996.0	0.9
01/01/2013 16:00	-1.9	99	4	22	995.9	0.6
01/01/2013 16:30	-2.0	99	4	4	996.0	0.9
01/01/2013 17:00	-2.1	99	3	0	996.2	1.0
01/01/2013 17:30	-2.1	99	2	0	996.4	0.4
01/01/2013 18:00	-2.2	99	4	0	996.6	0.3
01/01/2013 18:30	-2.4	99	3	0	996.7	0.3
01/01/2013 19:00	-2.6	99	4	0	996.9	0.5
01/01/2013 19:30	-2.8	99	4	0	997.0	0.2
01/01/2013 20:00	-2.9	99	4	0	997.1	0.2
01/01/2013 20:30	-3.2	99	6	0	997.1	0.1
01/01/2013 21:00	-3.5	98	6	0	997.2	0.0
01/01/2013 21:30	-3.6	98	6	0	997.4	0.0
01/01/2013 22:00	-3.6	98	6	0	997.6	0.0
01/01/2013 22:30	-3.5	98	7	0	997.7	0.0
01/01/2013 23:00	-3.7	98	7	0	997.8	0.0
01/01/2013 23:30	-3.8	98	7	0	997.9	0.0
02/01/2013 00:00	-4.2	98	7	0	997.9	0.0
02/01/2013 00:30	-4.1	98	7	0	998.1	0.0
02/01/2013 01:00	-4.3	98	7	0	998.0	0.0
02/01/2013 01:30	-3.7	98	7	0	998.1	0.0
02/01/2013 02:00	-3.6	98	7	0	998.2	0.0
02/01/2013 02:30	-3.7	98	7	0	998.4	0.0
02/01/2013 03:00	-3.5	98	7	0	998.5	0.0
02/01/2013 03:30	-2.9	98	7	0	998.7	0.0
02/01/2013 04:00	-2.5	98	7	0	998.7	0.0
02/01/2013 04:30	-2.3	98	7	0	998.6	0.0
02/01/2013 05:00	-1.9	98	7	0	998.7	0.0
02/01/2013 05:30	-1.5	98	7	0	998.8	0.0
02/01/2013 06:00	-1.1	99	7	0	998.9	0.0
02/01/2013 06:30	-0.7	99	7	0	999.2	0.0
02/01/2013 07:00	-0.6	99	6	0	999.5	0.0
02/01/2013 07:30	-0.5	99	7	0	999.7	0.0
02/01/2013 08:00	-0.2	99	7	1	1000.0	0.0
02/01/2013 08:30	-0.1	99	6	10	1000.4	0.0
02/01/2013 09:00	0.0	99	7	31	1000.7	0.5
02/01/2013 09:30	0.5	99	6	59	1001.2	0.7
02/01/2013 10:00	1.1	99	6	116	1001.7	0.1
02/01/2013 10:30	1.8	99	6	107	1002.0	0.2
02/01/2013 11:00	2.7	99	6	151	1002.2	0.3
02/01/2013 11:30	2.7	99	4	148	1002.6	1.3
02/01/2013 12:00	2.6	94	3	109	1002.7	1.5
02/01/2013 12:30	2.7	88	4	87	1002.8	1.5
02/01/2013 13:00	2.7	89	2	75	1002.9	1.6
02/01/2013 13:30	2.8	89	2	48	1003.2	1.6
02/01/2013 14:00	2.9	90	2	50	1003.6	1.5
02/01/2013 14:30	3.1	87	2	98	1004.1	1.3
02/01/2013 15:00	3.2	84	3	55	1004.6	1.0
02/01/2013 15:30	3.3	84	4	29	1005.2	0.8
02/01/2013 16:00	3.1	85	4	12	1005.9	1.1
02/01/2013 16:30	3.0	86	4	2	1006.5	0.6
02/01/2013 17:00	2.9	85	4	0	1007.1	1.1
02/01/2013 17:30	2.7	86	4	0	1007.8	1.1
02/01/2013 18:00	2.6	83	4	0	1008.3	1.2
02/01/2013 18:30	2.0	85	4	0	1009.0	1.1
02/01/2013 19:00	1.8	85	4	0	1009.7	1.0
02/01/2013 19:30	1.8	83	4	0	1010.1	0.8
02/01/2013 20:00	1.9	82	4	0	1010.5	0.6
02/01/2013 20:30	1.6	83	6	0	1011.0	0.7
02/01/2013 21:00	1.8	82	6	0	1011.5	0.9
02/01/2013 21:30	2.0	82	6	0	1011.8	0.3
02/01/2013 22:00	1.8	82	6	0	1012.2	0.2
02/01/2013 22:30	1.6	85	6	0	1012.7	0.8
02/01/2013 23:00	1.2	88	6	0	1013.1	0.5
02/01/2013 23:30	1.2	89	6	0	1013.3	0.3
03/01/2013 00:00	1.3	89	6	0	1013.5	0.6
03/01/2013 00:30	1.3	90	6	0	1013.6	0.4
03/01/2013 01:00	1.2	91	6	0	1013.5	0.5
03/01/2013 01:30	1.2	90	6	0	1013.7	0.4
03/01/2013 02:00	1.0	91	6	0	1013.9	0.1
03/01/2013 02:30	0.8	93	6	0	1014.1	0.7
03/01/2013 03:00	1.0	93	6	0	1014.6	0.5
03/01/2013 03:30	1.2	93	6	0	1014.6	0.1
03/01/2013 04:00	1.2	93	6	0	1014.5	0.9
03/01/2013 04:30	1.6	92	6	0	1014.3	1.5
03/01/2013 05:00	1.8	92	6	0	1014.2	0.5
03/01/2013 05:30	1.6	92	6	0	1014.4	0.8
03/01/2013 06:00	1.3	92	6	0	1014.5	0.3
03/01/2013 06:30	1.2	94	6	0	1014.7	0.4
03/01/2013 07:00	1.1	94	6	0	1015.0	0.7
03/01/2013 07:30	0.7	96	6	0	1015.2	0.4
03/01/2013 08:00	0.0	97	6	2	1015.4	0.7
03/01/2013 08:30	0.0	97	6	22	1015.6	0.6
03/01/2013 09:00	0.3	98	6	64	1015.6	0.2
03/01/2013 09:30	1.5	93	6	163	1015.4	0.4
03/01/2013 10:00	2.3	82	6	214	1015.3	0.8
03/01/2013 10:30	3.2	73	4	310	1015.3	0.6
03/01/2013 11:00	4.5	69	4	314	1015.1	0.7
03/01/2013 11:30	5.4	63	3	336	1014.8	1.4
03/01/2013 12:00	6.1	63	2	358	1014.5	1.6
03/01/2013 12:30	6.9	56	2	311	1014.0	1.3
03/01/2013 13:00	7.8	49	2	371	1013.6	2.4
03/01/2013 13:30	7.9	48	1	301	1012.9	2.8
03/01/2013 14:00	7.9	48	2	188	1012.7	2.3
03/01/2013 14:30	8.1	48	2	202	1012.4	2.3
03/01/2013 15:00	8.2	48	2	151	1012.3	2.1
03/01/2013 15:30	8.3	50	2	145	1012.3	2.0
03/01/2013 16:00	7.8	53	4	27	1012.1	2.0
03/01/2013 16:30	7.6	54	4	7	1012.1	1.8
03/01/2013 17:00	7.4	55	4	0	1012.2	1.4
03/01/2013 17:30	7.0	57	6	0	1012.1	1.1
03/01/2013 18:00	6.8	58	6	0	1012.2	1.1
03/01/2013 18:30	6.6	59	6	0	1011.9	1.8
03/01/2013 19:00	6.3	61	6	0	1011.8	1.8
03/01/2013 19:30	5.9	62	5	0	1011.7	2.1
03/01/2013 20:00	5.3	66	6	0	1011.6	2.3
03/01/2013 20:30	4.9	72	6	0	1011.5	2.3
03/01/2013 21:00	5.3	70	5	0	1011.4	2.1
03/01/2013 21:30	5.6	70	5	0	1011.4	2.2
03/01/2013 22:00	5.3	72	5	0	1011.3	2.2
03/01/2013 22:30	5.5	71	5	0	1011.2	2.5
03/01/2013 23:00	5.7	70	5	0	1011.1	2.5
03/01/2013 23:30	5.4	71	5	0	1011.1	2.8
04/01/2013 00:00	5.1	71	5	0	1011.0	2.1
04/01/2013 00:30	4.5	75	6	0	1010.8	1.9
04/01/2013 01:00	4.5	77	6	0	1010.6	1.9
04/01/2013 01:30	4.3	78	6	0	1010.3	2.2
04/01/2013 02:00	3.9	80	6	0	1010.1	1.9
04/01/2013 02:30	4.2	78	6	0	1010.0	2.0
04/01/2013 03:00	4.1	78	6	0	1010.0	1.9
04/01/2013 03:30	3.9	80	6	0	1009.8	2.2
04/01/2013 04:00	3.9	80	6	0	1009.6	2.0
04/01/2013 04:30	3.6	82	6	0	1009.2	2.7
04/01/2013 05:00	3.9	79	6	0	1009.1	2.3
04/01/2013 05:30	3.9	79	6	0	1009.3	2.2
04/01/2013 06:00	3.3	80	6	0	1009.5	2.2
04/01/2013 06:30	2.4	85	7	0	1009.7	0.7
04/01/2013 07:00	1.3	91	7	0	1009.8	1.1
04/01/2013 07:30	1.6	93	7	0	1009.7	1.9
04/01/2013 08:00	2.2	90	7	4	1010.0	2.0
04/01/2013 08:30	2.5	88	6	28	1010.0	1.8
04/01/2013 09:00	2.3	88	7	58	1009.8	1.4
04/01/2013 09:30	3.7	83	6	157	1009.8	1.3
04/01/2013 10:00	4.6	75	6	150	1009.7	1.4
04/01/2013 10:30	4.4	76	6	144	1009.8	0.2
04/01/2013 11:00	5.4	69	6	140	1009.8	0.0
04/01/2013 11:30	5.8	68	4	84	1009.5	0.4
